id;name
3;Антрацит
36;Бежевый
26;Белый
2;Бирюза
27;Бордовый
18;Голубой
8;Графит
31;Джинс
67;Джинс голубой
32;Желтый
61;Зеленый
19;Индиго
28;Коралловый
39;Коричневый
21;Красный
41;Красный яркий
30;Лимон
14;Малина
25;Меланж
12;Молоко
40;Морковный
24;Мята
42;Оливковый
22;Оранжевый
1;Охра
13;Пудра
5;Розовый
35;Салатовый
47;Св. антрацит
48;Св. коричневый
15;Св. розовый
58;Св. электрик
62;Св.корал
10;Св.серый
6;Св.фиолетовый
9;Серый
43;Серый меланж
17;Синий
20;Сиреневый
54;Тем. голубой
56;Тем. малина
37;Тем. синий
11;Тем.серый
7;Тем.фиолетовый
60;Ультрамарин
107;Фиолет яркий
38;Фиолетовый
4;Черный
23;Электрик
51;джинс синий
52;джинс тёмн.синий
111;камуфляж
66;св.сирень
ё
