id;name
100:19;ндиго:Индиго
3;Антрацит
85:26;Блий:Белый
72:2;Брюза:Бирюза
101:36;Бежевий:Бежевый
77:18;Блакитний:Голубой
27;Бордовый
69;Бузок
45;Горчица
102:8;Графт:Графит
31;Джинс
83;Джинс блакитний
84;Електрик
76:32;Жовтий:Желтый
61;Зеленый
75:28;Кораловий:Коралловый
39;Коричневый
21;Красный
41;Красный яркий
30;Лимон
14;Малина
25;Меланж
12;Молоко
40;Морковный
24;Мята
73:42;Оливковий:Оливковый
80:22;Оранжевий:Оранжевый
1;Охра
13;Пудра
106;Рожевий
70:5;Розовий:Розовый
82;Срий
87:35;Салатовий:Салатовый
47;Св. антрацит
48;Св. коричневый
15;Св. розовый
58;Св. электрик
78;Св.бузок
62;Св.корал
79:10;Св.срий:Св.серый
105:6;Св.фолетовий:Св.фиолетовый
9;Серый
43;Серый меланж
86:17;Синй:Синий
20;Сиреневый
54;Тем. голубой
56;Тем. малина
37;Тем. синий
11;Тем.серый
68;Тем.синй
103;Тем.синй
81;Тем.синй
74:7;Тем.фолетовий:Тем.фиолетовый
60;Ультрамарин
107;Фолет яскравий
38;Фиолетовый
90:4;Чорний:Черный
23;Электрик
51;джинс синий
52;джинс тёмн.синий
111;камуфляж
66;св.сирень
ё
