id;name
100;ндиго
3;Антрацит
85;Блий
72;Брюза
101;Бежевий
36;Бежевый
26;Белый
2;Бирюза
77;Блакитний
27;Бордовый
69;Бузок
18;Голубой
45;Горчица
102;Графт
8;Графит
31;Джинс
83;Джинс блакитний
84;Електрик
32;Желтый
76;Жовтий
61;Зеленый
19;Индиго
28;Коралловый
75;Кораловий
39;Коричневый
21;Красный
41;Красный яркий
30;Лимон
14;Малина
25;Меланж
12;Молоко
40;Морковный
24;Мята
73;Оливковий
42;Оливковый
80;Оранжевий
22;Оранжевый
1;Охра
13;Пудра
106;Рожевий
70;Розовий
5;Розовый
82;Срий
87;Салатовий
35;Салатовый
47;Св. антрацит
48;Св. коричневый
15;Св. розовый
58;Св. электрик
78;Св.бузок
62;Св.корал
79;Св.срий
10;Св.серый
105;Св.фолетовий
6;Св.фиолетовый
9;Серый
43;Серый меланж
86;Синй
17;Синий
20;Сиреневый
54;Тем. голубой
56;Тем. малина
37;Тем. синий
11;Тем.серый
68;Тем.синй
103;Тем.синй
81;Тем.синй
74;Тем.фолетовий
7;Тем.фиолетовый
60;Ультрамарин
107;Фолет яскравий
38;Фиолетовый
4;Черный
90;Чорний
23;Электрик
51;джинс синий
52;джинс тёмн.синий
111;камуфляж
66;св.сирень
ё
