category;sku;model;qty;name;color_id;size_id;textile;season;price;status
6211_1;111013;БР-11;21;Бриджи "Вышиванка";21;14,7,3;Супрем 100% хлопок;1;0;1
6211_1;121013;БР-12;18;Бриджи "Вышиванка";21;4,5,15;Супрем 100% хлопок;1;0;1
6211_1;131013;БР-13;67;Бриджи для малышей;2,8,37;8,7,14;Супрем 100% хлопок;1;0;1
6211_1;141013;БР-14;11;Бриджи "Повседневные";102,31;7,14,3;Супрем 100% бавовна;1;0;1
6090_1;540119;ГФ-54;0;Гольф однотонный;;;Рибана 95%хлопок+5%лайкра;4;0;1
6090_2;540119;ГФ-54;0;Гольф однотонный;;;Рибана 95%хлопок+5%лайкра;4;0;1
6090_1;580116;ГФ-58;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_2;580116;ГФ-58;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_1;590116;ГФ-59;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_2;590116;ГФ-59;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_1;600116;ГФ-60;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_2;600116;ГФ-60;0;Гольф школьный;;;Качкорса 95%хлопок+5%лайкра;4;0;1
6090_2;660112;ГФ-66;25;Гольф с коротким рукавом;26;16,17,15;Супрем с лайкрой 95%хлопок+5%лайкра;4;0;1
6090_2;670112;ГФ-67;78;Гольф с коротким рукавом;26;1,2,6;Супрем с лайкрой 95%хлопок+5%лайкра;4;0;1
6090_2;720119;ГФ-72;18;Гольф цветной;3,2,31,32,28,13,5,35,62,6,17,20,38;3,4,5;Рибана 95%хлопок+5%лайкра;2;0;1
6090_2;730119;ГФ-73;35;Гольф цветной;3,2,31,32,28,13,5,35,62,6,17,20,38;15,16,17;Рибана 95%хлопок+5%лайкра;2;0;1
6090_1;750128;ГФ-75;0;Гольф ,байка;;;Рибана с/н 95%хлопок+5%лайкра;3;0;1
6090_2;750128;ГФ-75;0;Гольф ,байка;;;Рибана с/н 95%хлопок+5%лайкра;3;0;1
6090_1;800128;ГФ-80;28;Гольф "Собачка";25;8,7,14,3;Рибана с/н 95%хлопок+5%лайкра;3;0;1
6090_2;810128;ГФ-81;18;Гольф "Котенок";12;8,7,14,3;Рибана с/н 95%хлопок+5%лайкра;3;0;1
6090_1;850119;ГФ-85;0;Гольф с отворотом;;;Рибана 95%бавовна+5% лайкра;4;0;1
6090_2;850119;ГФ-85;139;Гольф с отворотом;14;5,15,16,17;Рибана 95%бавовна+5% лайкра;4;0;1
12_2;22409;КБ-2;117;Комбинезон "Цветочки";31,37;8,7,14;Трехнитка б/н 100% хлопок;2;0;1
6209_2;14706;КС-147;58;Костюм "Домашний";26;15,16,17;супрем+двунитка 95%хлопок+5%полиэстер;4;0;1
